#ID	SRR1039508	SRR1039509	SRR1039512	SRR1039513	SRR1039516	SRR1039517	SRR1039520	SRR1039521
ENSG00000000003	32.90857204	23.82449769	34.44963978	26.91285065	46.55968332	33.98214234	40.27743305	27.03629504
ENSG00000000419	22.6337307	27.38753641	24.50541386	24.07644727	24.01628656	25.93288608	21.81258387	24.01125504
ENSG00000000457	12.60122052	11.22091297	10.37829927	10.81791055	10.0238334	10.74316057	12.18784662	10.82397127
ENSG00000000460	2.907973965	2.924882529	1.578448558	2.308700423	3.191261247	2.044770742	3.975434951	2.835975005
ENSG00000000971	157.5637227	195.6480513	243.7519186	280.47412	274.9803441	357.8997933	270.7480435	377.8936694
ENSG00000001036	69.45211153	56.47682265	68.38628377	58.1132878	58.26097455	46.70516029	71.08705392	52.41827134
ENSG00000001084	25.1539748	20.20827929	23.4794223	32.51969453	33.54915669	23.17406841	36.40661481	33.27544005
ENSG00000001167	19.0956957	12.55040503	18.31000327	11.54350212	26.92115257	18.95470021	18.83100766	12.71462127
ENSG00000001460	8.336192033	8.934186633	10.41776048	7.78361857	9.86017898	6.815902474	8.107794965	8.366126264
ENSG00000001461	102.3606836	99.28646693	202.712256	175.2633436	111.8987117	89.28832241	129.0447108	137.3084565
ENSG00000001497	25.39630596	25.95168498	25.1762545	23.54874432	27.65759747	26.16008283	25.78801882	22.45146879
ENSG00000001561	3.441102525	2.712163799	8.326316143	10.2902076	0.941012932	1.233353781	7.009319518	8.129795013
ENSG00000001617	26.89875918	20.95279484	35.71239862	27.37459073	29.74419136	22.62230488	32.32656315	28.3124838
ENSG00000001626	0.484662328	0.106359365	0.355150926	0.131925738	0.409136057	0.194740071	0.261541773	0.23633125
ENSG00000001629	80.45394637	66.52778261	89.14288231	71.17393591	100.7292973	81.59608962	98.75817351	78.46197513
ENSG00000001630	2.859507732	2.871702846	2.604440121	1.517145992	3.436742881	2.823731025	1.621558993	2.788708755
ENSG00000001631	35.33188368	36.80034018	37.21192475	31.33236289	42.30466832	37.74711704	38.23740722	35.16609006
ENSG00000002016	9.741712783	8.561928857	10.10207077	6.530324054	10.96484633	8.341366361	8.369336738	6.475476261
ENSG00000002330	9.984043947	9.253264727	7.260863366	7.321878485	7.937239511	8.438736397	8.160103319	8.366126264
ENSG00000002549	70.71223358	68.81450895	51.97041877	65.8309435	59.36564191	59.20098149	44.61902648	48.73150383
ENSG00000002586	363.8360093	383.0532519	374.9209937	409.8932694	448.9449956	417.4902549	357.4752954	341.4986568
ENSG00000002745	0.193864931	0.319078094	0.868146707	0.659628692	0.081827211	0.032456678	0.261541773	0.14179875
ENSG00000002746	7.318401146	7.391975845	4.616962032	4.2875865	3.682224515	3.310581202	4.498518497	5.624683759
ENSG00000002822	19.91962166	16.11344375	17.59970142	12.8627595	18.20655455	16.97484283	15.43096461	14.17987502
ENSG00000002834	306.0157936	338.4354984	309.0207664	383.1783074	273.1801454	388.506441	301.6099727	369.8584069
ENSG00000002919	11.34109846	13.08220186	11.75944176	13.91816541	8.878252442	12.2037111	9.624737249	12.52555627
ENSG00000002933	60.77665587	80.19496097	25.09733207	28.42999664	1.022840143	0.876330318	3.661584823	5.152021258
ENSG00000003056	57.62635074	50.36115918	49.95789686	45.71226838	52.69672417	50.47013499	50.05909536	42.49235882
ENSG00000003096	26.65642801	16.75159994	21.97989617	11.27965064	21.23416137	9.217696679	25.36955199	10.58764002
ENSG00000003137	6.009812861	3.031241893	10.10207077	4.155660762	1.227408172	1.46055053	10.14782079	3.214105005
ENSG00000003249	3.925764853	3.775757446	8.168471287	5.277029539	4.459583024	3.635147986	8.160103319	6.05008001
ENSG00000003393	37.27053299	38.44891033	31.21382023	35.61994939	45.61867038	48.97712778	40.17281634	40.83804007
ENSG00000003400	4.74969081	3.137601258	5.248341455	4.749326585	2.372989132	1.590377244	5.021602043	3.166838755
ENSG00000003402	69.01591544	139.1712287	68.7414347	155.9362229	95.81966461	168.7098146	66.01314352	177.7683665
ENSG00000003436	211.9428358	222.4506112	228.6382736	213.0600676	300.4695204	161.6667154	180.5684401	157.9638078
ENSG00000003509	13.9098088	14.89031106	14.08765338	12.59890802	15.79265181	12.85284467	13.12939701	11.72203002
ENSG00000003756	114.7680392	92.95808473	106.3085104	87.53272748	108.2983144	81.79082969	104.4074758	97.98293641
ENSG00000003987	0.823925957	1.329492059	0.986530349	1.912923208	0.818272115	1.655290601	0.627700255	1.276188752
ENSG00000003989	2.277912939	2.978062211	0.473534567	0.197888608	2.086593892	3.310581202	0.941550383	2.174247504
ENSG00000004059	52.8281937	69.45266514	44.9857839	53.89166417	54.57875004	64.4589634	53.77298854	63.66763885
ENSG00000004139	4.168096017	4.413913634	4.064505037	3.364106331	4.705064658	3.213211166	4.289285078	3.639501256
ENSG00000004142	72.5054842	82.16260922	63.41417081	63.58820594	71.76246444	74.68281711	59.26536578	59.3664101
ENSG00000004399	197.5968309	226.5454468	144.0728921	108.7727714	220.401594	194.4804173	142.1741078	132.7708965
ENSG00000004455	58.49874293	59.08262708	58.59990271	50.5935207	61.24766777	73.80648679	53.19759664	43.53221632
ENSG00000004468	0.145398698	0.053179682	0	0	0.122740817	0.032456678	0.104616709	0.04726625
ENSG00000004478	24.33004884	24.51583356	21.74312889	18.53556626	25.0391267	21.3889511	20.92334184	18.52837003
ENSG00000004487	68.33738818	52.59470583	58.87613121	47.95500594	69.88043858	52.38507902	66.06545187	48.92056883
ENSG00000004534	58.25641177	53.97737758	73.20055187	60.61987683	70.41231545	55.63074686	61.25308325	47.88071133
ENSG00000004660	4.604292111	2.924882529	2.328211623	2.308700423	3.559483698	2.564077597	8.05548661	3.166838755
ENSG00000004700	45.55825879	58.28493185	47.03776703	50.52755784	38.82701183	47.12709711	42.47438394	56.34137009
ENSG00000004766	23.84538651	21.96320881	21.54582282	22.22948693	24.9982131	21.97317131	22.75413426	20.04089003
ENSG00000004776	168.3232263	163.6870622	109.5048687	106.925811	85.26395433	73.15735322	186.7931343	149.0304865
